date,close
24,33.69
25,32.83
26,33.51
27,34.79
28,36.25
29,37.27
30,38.83
31,40.53
32,41.45
33,42.78
34,43.88
35,44.75
36,45.44
37,45.19
38,45.45
39,45.56
40,46.36
41,45.00
42,43.75
43,43.25
